Владо Жарић,1831
Петар Спасић,1780
Богдан Радаковић,1756
Горан Данчејић,1590
Влада Вуловић,1568
Миле Стевановић,1553
Бранислав Коледин,1527
Милан Стефановић,1509
Огњен Шобајић,1494
Дејан Суботић,1493
Carson Fricke,1488
Војислав Кокеза,1480
Жељко Николичић,1473
Стеван Радаковић,1458
Горан Прунк,1449
Предраг Тошић,1442
Перица Милошевић,1440
Емир Баручија,1439
Cody Rose,1439
Александар Јакшић,1427
Слободан Жарић,1423
Никола Данчејић,1414
Сергеј Хринко,1413
Andriy Banin,1406
Звонко Николић,1400
Лана Парежанин,1400
Далибор Марчета,1389
Милан Јавор,1388
Nick Bopp,1387
Ануш,1385
Nathan Main,1384
Eric Main,1383
Милош Грујић (*),1381
Гордан Радојичић,1379
Перо Остојић,1378
Слободан Бојанић,1373
Sagnik Sinha,1368
Ивица Колев,1367
Brandon Dahl,1367
Филип Војновић,1365
Милош Миљановић,1364
Живка Радаковић,1362
Живко Војновић,1358
Анђела Војновић,1357
Марко Лакић,1348
Мирко Спасојевић,1347
Eli Main,1344
Јовица Спасић,1342
Tim Hendon,1340
Саша Радојевић,1337
Марко Суботић,1337
Аца Спасојевић,1331
Саша Дожић,1317
Предраг Росо,1313
Emma Walters,1299
Agnes Walters,1292
Павле Глишић,1291
Алекса Миловановић,1286
Кита Колева,1286
Саша Јурић,1216
Мила Жарић,1209
Никола Рудић,1185
Непар,953
